Produto           Setembro   Outubro  Novembro
Suco                     4         1         1
Manteiga                17         3         3
Geleia                   7         7         7
Margarina                7         8         8
Leite                   17        11        11
Sorvete                 18        11        11
Doce                    18        12        12
Biscoito                 1        13        13
Refrigerante             2        13        13
Salame                   6        14        14
Bolacha                 18        15        15
Bolo                    24        15        15
Farinha                  9        15        15
Cafe                     5        24        24
Fermento                25        29        29
