Produto           Setembro   Outubro  Novembro
Bolacha                  5         1         1
Suco                     5         8         8
Bolo                     5        13        13
Sorvete                  6        20        20
Fermento                 8        26        26
Pao                     13         0         0
Presunto                16         0         0
Queijo                  22        29        29
Petiscos                27        21        21
Geleia                  29         4         4
