Produto           Setembro   Outubro  Novembro
Salame                   0        11        11
Bolo                     4         3         3
Suco                     4         4         4
Pao                      5         0         0
Manteiga                 5        26        26
Refrigerante             7        24        24
Geleia                   8         6         6
Cafe                     9        12        12
Sorvete                 12         9         9
Farinha                 14         6         6
Margarina               15        26        26
Torta                   17        12        12
Petiscos                20         6         6
Bolacha                 27         8         8
Leite                   29        23        23
