Produto           Setembro   Outubro  Novembro
Geleia                  20         1         1
Doce                    15         2         2
Manteiga                19         2         2
Bolacha                 26         2         2
Torta                    4         3         3
Queijo                   8         3         3
Salame                   2         4         4
Leite                   28         5         5
Farinha                 27         6         6
Fermento                10         9         9
Biscoito                 9        13        13
Pao                     13        15        15
Margarina                2        17        17
Sorvete                  8        20        20
Petiscos                21        20        20
Suco                    25        21        21
Cafe                     2        22        22
Presunto                23        22        22
Bolo                    28        25        25
Refrigerante            26        27        27
