Produto           Setembro   Outubro  Novembro
Suco                     0        25        25
Geleia                   1        17        17
Queijo                  10        27        27
Biscoito                12        21        21
Bolacha                 18        17        17
Cafe                    21         7         7
Farinha                 23        11        11
Pao                     23        19        19
Leite                   24        26        26
Refrigerante            25        19        19
