Produto           Setembro   Outubro  Novembro
Salame                   4         0         0
Farinha                 10         1         1
Fermento                25         3         3
Presunto                 2        12        12
Sorvete                  1        21        21
Doce                     4        21        21
Cafe                     1        22        22
Pao                     13        23        23
Bolacha                 12        28        28
Manteiga                18        29        29
